id	title	description	category	inventoryHeight	inventoryWidth	image	customProperties
act_ironclad_steel_resolve	Steel Resolve	Immune frightened; reroll vs charm or compulsion on failure.	passive				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_perfect_kata	Perfect Kata	High-impact burst attack sequence.	combat				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_resonant_armor	Resonant Armor	Unarmored AC formula and reaction damage reduction.	passive_reaction				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_echomind_clarity	Echomind Clarity	Advantage on Wisdom saves; immune to forced oath-breaking control.	passive				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_between_mastery	Between Mastery	Dodge as bonus action and surge upgrades.	passive				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_blade_sworn	Blade-Sworn	Weapon return, anti-disarm, incorporeal strike support.	passive_weapon				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_seventh_vein	The Seventh Vein	Capstone package with surge and death-action effects.	capstone				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_path_iron_lord_lords_resonance	Lord's Resonance	Social advantage and ward-linked bonus damage.	subclass_iron_lord				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_path_iron_lord_iron_vanguard	Iron Vanguard	Reaction movement to interpose and become target instead of ward.	subclass_iron_lord				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_path_iron_lord_code_of_house	Code of the House	Anti-retreat resistance and ward protection extension.	subclass_iron_lord				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_path_iron_lord_unbroken_fealty	Unbroken Fealty	Transfer HP to ward when they drop to 0 HP.	subclass_iron_lord				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_path_sutensai_sutras_edge	Sutra's Edge	Iron Rite and anti-reanimation effects.	subclass_sutensai_blade				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_path_sutensai_theological_authority	Theological Authority	Religion expertise and once-per-long-rest pacification invocation.	subclass_sutensai_blade				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_path_sutensai_between_consecration	Between Consecration	Consecrate area with anti-undead pressure and ally support.	subclass_sutensai_blade				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_path_sutensai_final_sutra	The Final Sutra	Soul-bind finishing effect.	subclass_sutensai_blade				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_path_debt_debts_memory	Debt's Memory	Mark debt targets and gain bonuses.	subclass_undying_debt				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_path_debt_hollow_memory	Hollow Memory	Meditative memory-construction consultation.	subclass_undying_debt				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_path_debt_unfinished_business	Unfinished Business	Temporary death-defiance state.	subclass_undying_debt				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_path_debt_debt_becomes_blade	The Debt Becomes the Blade	High-damage debt finisher.	subclass_undying_debt				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_path_flesh_temple_form	Temple Form	Choose Water, Fire, or Iron form.	subclass_flesh_temple				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_path_flesh_spiritual_violence	Spiritual Violence	Bonus damage and sustain on takedown.	subclass_flesh_temple				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_path_flesh_perfect_instrument	Perfect Instrument	Max HP and save profile upgrades.	subclass_flesh_temple				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_path_flesh_temple_burns	The Temple Burns	Overdrive state with backlash.	subclass_flesh_temple				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_basic_attack	Basic Attack (Ironclad)	Free attack card; once per turn.	combat_card				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""true"",""aiTag"":""""}"
card_ironclad_between_stance	Between Stance	Mobility-defense attack rider card.	combat_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_iron_breath	Iron Breath	Signature suppression card.	utility_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_resonant_strike	Resonant Strike	Damage boost card tied to Wisdom scaling.	combat_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_stillness_kata	Stillness Kata	If stationary this turn, gain offensive bonus.	combat_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_burden_strike	Burden Strike	Ally-protection reaction card.	reaction_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_iron_witness	Iron Witness	Gain temporary HP on nearby takedown trigger.	combat_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_resonant_surge	Resonant Surge	Temporary power state; AP spend and duration tracked by script.	combat_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_perfect_kata	Perfect Kata	High-impact burst card; once per long rest by additional tracker.	combat_card				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_resonant_armor	Resonant Armor	Damage reduction reaction with use tracker.	defense_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_blade_sworn	Blade-Sworn	Passive card marker for bonded weapon behavior.	passive_card				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ironclad_seventh_vein	The Seventh Vein	Capstone card package enabling final-action logic and surge scaling.	capstone_card				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_iron_lord_lords_resonance	Lord's Resonance	Ward-linked offense card.	subclass_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_iron_lord_iron_vanguard	Iron Vanguard	Interpose reaction card.	subclass_reaction_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_iron_lord_unbroken_fealty	Unbroken Fealty	Emergency ward sustain card.	subclass_power_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_sutensai_sutras_edge	Sutra's Edge	Rite anti-reanimation strike card.	subclass_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_sutensai_between_consecration	Between Consecration	Area consecration card.	subclass_power_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_sutensai_final_sutra	The Final Sutra	Soul-bind finishing card.	subclass_power_card				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_debt_debts_memory	Debt's Memory	Mark target and apply debt bonuses.	subclass_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_debt_unfinished_business	Unfinished Business	Death-defiance card state.	subclass_power_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_debt_becomes_blade	The Debt Becomes the Blade	High-damage debt finisher card.	subclass_power_card				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_flesh_temple_form	Temple Form	Form selection or switch card.	subclass_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_flesh_spiritual_violence	Spiritual Violence	Damage plus sustain card.	subclass_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_flesh_temple_burns	The Temple Burns	Overdrive card with backlash resolution.	subclass_power_card				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_monster_basic_attack	Monster Basic Attack	Free baseline attack card, once per turn.	combat_card				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""true"",""aiTag"":""attack""}"
card_monster_guarded_step	Guarded Step	Reposition while applying a brief defensive state.	defense_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""mobility""}"
card_monster_pressure_strike	Pressure Strike	Standard AP attack card for damage cycling.	combat_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""attack""}"
card_monster_crushing_blow	Crushing Blow	High-damage card, usually for low-health targets.	power_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""finisher""}"
card_monster_suppressive_howl	Suppressive Howl	Applies debuff control state.	control_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""control""}"
card_monster_harden_plating	Harden Plating	Gain temporary mitigation for incoming damage.	defense_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""defense""}"
card_monster_recover_cycle	Recover Cycle	Recover limited HP or cleanse one minor status.	sustain_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""sustain""}"
card_monster_reactive_counter	Reactive Counter	Triggered response card for anti-focus behavior.	reaction_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""reaction""}"
card_monster_end_turn	End Turn	Explicit monster turn end action for script flow.	combat_core				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""system""}"
card_boss_phase_shift	Phase Shift	Transition behavior state between boss phases.	boss_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""control""}"
card_boss_field_pressure	Field Pressure	Battlefield-wide pressure effect.	boss_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""control""}"
card_boss_execution_window	Execution Window	Heavy strike card used under threshold conditions.	boss_finisher_card				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""finisher""}"
card_boss_reinforcement_call	Reinforcement Call	Summon allied units based on encounter script.	boss_summon_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""support""}"
card_status_guard_protocol	Guard Protocol	Apply Guard to self or ally.	defense_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_status_expose_weakpoint	Expose Weakpoint	Apply Expose to enemy target.	control_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_status_stagger_strike	Stagger Strike	Deal fixed damage and apply Stagger.	combat_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_status_cleanse_cycle	Cleanse Cycle	Remove one debuff from ally target.	utility_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_status_heat_purge	Heat Purge	Remove Overheat stacks from self.	utility_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_status_mark_target	Mark Target	Apply Mark to enemy target.	control_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_status_overclock_drive	Overclock Drive	Empower next card this turn and add Overheat stacks.	power_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_tethered_weight_of_flesh	Weight of Flesh	Target creature within 10 feet: apply Expose 2 and Root. If target has cybernetics, Root extends 1 additional round.	control_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_tethered_the_still_point	The Still Point	Remove Stagger/Root/Silence/Vulnerable; first enemy card targeting you loses keyword riders. Apply Fortify until next turn.	utility_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_echoed_between_step	Between-Step	Move through solids/occupied spaces; reduce incoming damage by 4 + RESONANCE; must end in unoccupied space; suspend status expiration.	mobility_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_echoed_iron_afterlife_pulse	Iron Afterlife Pulse	10-foot radius: enemies take 5 + RESONANCE damage + Expose 2. Below half HP: 8 + RESONANCE + Expose 3. Cannot use at full HP.	resonant_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_wireborn_signal_hijack	Signal Hijack	Target enemy within 30 feet with active Signal card: negate and immediately play as own card. Once per enemy per combat.	control_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_wireborn_infrastructure_broadcast	Infrastructure Broadcast	40-foot radius: enemies with Wire Craft dependency take 4 + SIGNAL damage + Silence 1 turn. Cannot use while under Silence.	control_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_stitched_composite_response	Composite Response	Choose Component A or B defined at creation. Component A: heavy damage + Root + Guard. Component B: precision damage + Expose 2 + reposition.	power_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_stitched_drift_shift	Drift Shift	Shift Drift State (none → minor → major → none). While drifting, gain +2 Guard and Stagger resistance. While major: attacks deal +FRAME bonus damage but you cannot use control cards.	combat_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_shellbroken_shell_adjacent_state	Shell-Adjacent State	1 turn: enemies within 20 feet spend 1 AP for offensive actions. Next attack: 8 + RESONANCE + Expose 3 + Stagger. Severs Hollow Author control 3 turns. Shellbroken gains Vulnerable 2 until next turn.	power_card				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_shellbroken_what_emptiness_knows	What Emptiness Knows	Target within 30 feet: next card halved effect + negated keywords. Allies within 15 feet gain Guard 2 + RESONANCE. Once per enemy per combat.	control_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_iron_blessed_prior_ascended_echo	Prior Ascended Echo	15-foot radius: enemies take 5 + RESONANCE damage. Constructs/undead/Afterlife creatures take +4 + Expose 2. GM adds one minor uncontrolled resonant effect.	resonant_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_iron_blessed_formation_flare_tended	Formation Flare (Tended)	Tended only. Guard 6 + RESONANCE self. Allies within 10 feet gain Guard 3 + RESONANCE. Enemies within 10 feet take 3 + RESONANCE on melee contact.	defense_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_iron_blessed_uncontrolled_resonance	Uncontrolled Resonance (Unregistered)	Unregistered only. 20-foot radius: enemies take 7 + RESONANCE + Stagger. At/below half HP: Stagger + Expose 3. Self takes 3 damage. Next card costs 0 AP.	power_card				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_diminished_below_the_threshold	Below the Threshold	Until next turn start: next card cannot be Reacted to, damage cannot be reduced by Guard/Shield, status cannot be resisted. Once per enemy per combat.	utility_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_diminished_infrastructure_advantage	Infrastructure Advantage	In infrastructure location: target within 40 feet takes 4 + EDGE damage + Root + remove enhancement stat bonuses. No augmentations: 3 + VEIL + Expose 2.	control_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_basic_attack	Basic Attack (Ronin)	Free masterless strike. Once per turn.	combat_card				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""true"",""aiTag"":""""}"
card_ronin_masterless_edge	Masterless Edge	Baseline Ronin attack leveraging unbound resonance corruption.	combat_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_broken_resonance	Broken Resonance	Corrupted signature provides passive resistance to resonance-targeting effects.	defense_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_combat_pragmatism	Combat Pragmatism	Efficient strike; no oath overhead, pure mechanical efficiency.	combat_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_dirty_finish	Dirty Finish	Opportunistic follow-up strike on exposed or weakened target.	combat_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_relentless_press	Relentless Press	Maintain pressure through sustained attack sequence.	combat_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_controlled_retreat	Controlled Retreat	Disengage without provoking while maintaining combat options.	mobility_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_scar_tissue	Scar Tissue	Accumulated battle damage provides resistance to further harm.	defense_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_counter_kata	Counter Kata	React to incoming attack with counter-strike.	reaction_card				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_masterless_momentum	Masterless Momentum	Chain strikes leveraging unbound energy for escalating damage.	power_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_resonant_corruption	Resonant Corruption	Unleash corrupted resonance signature as a damaging attack.	combat_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_iron_scar	Iron Scar	Convert accumulated damage into temporary defensive fortification.	defense_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_exile_cut	Exile Cut	Precision strike informed by hard-won combat experience.	combat_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_ronin_fracture_strike	Fracture Strike	Strike targeting structural weaknesses with corrupted resonance.	combat_card				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
